id_kalimat,kalimat_asli,klausa,aspect,sentiment,provider,timestamp
1036,admin id 3 hari ini mengapa ada banyak sekali telelpon spam yang masuk ke nomor saya ketika saya angkat respon mereka sama jika anda sedang sibuk kami tutup telepon ini dan akan menghubungi kembali nomor2 telepon yang masuk berbeda2 dan semua sudah saya blokir please tell me how di i solve itu,admin id 3 hari ini mengapa ada banyak sekali telelpon spam yang masuk ke nomor saya ketika saya angkat respon mereka sama jika anda sedang sibuk kami tutup telepon ini,Layanan Pelanggan,Negatif,ByU,2025-10-07 22:20
1037,min e sim tidak bisa dibeli mohon segera selesaikan maintenance ya,min e sim tidak bisa dibeli mohon segera selesaikan maintenance ya,Kemudahan Akses Layanan,Negatif,ByU,2025-12-16 18:35
1038,minn kenapa sinyal by lu ku sudah 3 hari tidak muncul muncul,minn kenapa sinyal by lu ku sudah 3 hari tidak muncul muncul,Stabilitas Jaringan,Negatif,ByU,2025-09-30 15:18
1039,ini kenapa jaringannya jadi sering ngelag banget sih,ini kenapa jaringannya,Stabilitas Jaringan,Netral,ByU,2025-08-04 19:57
1040,ini kenapa jaringannya jadi sering ngelag banget sih,jadi sering ngelag banget sih,Stabilitas Jaringan,Negatif,ByU,2025-04-13 18:49
1041,bagaimana mau kerja lagi urusan pekerjaan butuh sinyal malah hilang hilang mulu tuh sinyal,bagaimana mau kerja lagi urusan pekerjaan butuh sinyal malah hilang hilang mulu tuh sinyal,Stabilitas Jaringan,Negatif,ByU,2025-05-26 11:18
1042,jaringan kamu ngeleg mulu ah jadi malas pakai byu,jaringan kamu ngeleg mulu ah,Stabilitas Jaringan,Negatif,ByU,2025-07-02 16:45
1043,min tolong e sim ya tidak bisa di beli tolong dipercrpat,min tolong e sim ya tidak bisa di beli tolong dipercrpat,Layanan Pelanggan,Negatif,ByU,2025-11-03 18:59
1044,di prabumulih sudah seharian tidak ada jaringan min,di prabumulih sudah seharian tidak ada jaringan min,Stabilitas Jaringan,Negatif,ByU,2025-06-15 15:47
1045,sudah ngeleg paket 7gb 14 hari diubah lagi jadi 6 5 gb 7 hari alamak kikirnya v,sudah ngeleg paket 7gb 14 hari diubah lagi jadi 6 5 gb 7 hari,Harga,Negatif,ByU,2025-08-16 13:12
1046,operator miskin tidak mampu buka gerai tapi harga naik mulu,tapi harga naik mulu,Harga,Negatif,ByU,2025-12-27 15:59
1047,dear byu saya pelanggan beta yang dapat benefit paket spesial pakai telor kenapa sekarang di app ya tidak ada ya mohon penjelasannya mau perpanjang tidak bisa,dear byu saya pelanggan beta yang dapat benefit paket spesial pakai telor kenapa sekarang di app ya tidak ada ya mohon penjelasannya mau perpanjang tidak bisa,Layanan Pelanggan,Negatif,ByU,2025-04-18 15:08
1048,3 dosa besar by lu 1 nomor user tidak dilindungi rawan kena spam 2 harga makin tinggi kuota dipangkas 3 sinyal tidak pernah konsisten lebih banyak hilang ilangan ketimbang stabil,3 dosa besar by lu 1 nomor user tidak dilindungi rawan kena spam 2 harga makin tinggi kuota dipangkas 3 sinyal tidak pernah konsisten lebih banyak hilang ilangan ketimbang stabil,Keamanan Layanan,Negatif,ByU,2025-11-04 14:15
1049,buset sudah dari 28 hari turun ke 14 hari dari 14 hari turun ke 7 hari yang semula 7gb jadi 6 5 harga makin mahal tapi jaringan tidak meningkat,buset sudah dari 28 hari turun ke 14 hari dari 14 hari turun ke 7 hari yang semula 7gb jadi 6 5 harga makin mahal,Harga,Negatif,ByU,2025-06-02 23:14
1050,buset sudah dari 28 hari turun ke 14 hari dari 14 hari turun ke 7 hari yang semula 7gb jadi 6 5 harga makin mahal tapi jaringan tidak meningkat,tapi jaringan tidak meningkat,Stabilitas Jaringan,Negatif,ByU,2025-06-21 14:03
1051,tolong kembalikan 7gb 30 hari,tolong kembalikan 7gb 30 hari,Harga,Negatif,ByU,2025-08-04 20:21
1052,banyak posting kualitas di banting harga makin naik makin pusing kualitas makin sinting,banyak posting kualitas di banting harga makin naik makin pusing kualitas makin sinting,Harga,Negatif,ByU,2025-02-23 22:06
1053,mendiing byu di bubarin saja kartu tidak berguna jariingan ya lelet,mendiing byu di bubarin saja kartu tidak berguna jariingan ya lelet,Stabilitas Jaringan,Negatif,ByU,2025-08-22 11:00
1054,kok makin mahal saja ini minn,kok makin mahal saja ini minn,Harga,Negatif,ByU,2025-12-31 12:26
1055,makin mahal saja sekarang sama saja kayak simcard lainn,makin mahal saja sekarang sama saja kayak simcard lainn,Harga,Negatif,ByU,2025-11-21 22:30
1056,apasi masa aktif di ringkas mulu dari 30 hari 14 hari sekarang 7 hari paket 15 ribu tidak jelas,apasi masa aktif di ringkas mulu dari 30 hari 14 hari sekarang 7 hari paket 15 ribu tidak jelas,Harga,Negatif,ByU,2025-05-21 13:48
1057,min kembalikan byu yang dulu tidak usah belaga belinkuota nanti dapat undian jalan atau apapun itu mending balikin kuota byu murah kencang kami memakai kamu sudah lama sudah nyaman banget ini jangan sampai kami tinggalkan,min kembalikan byu yang dulu tidak usah belaga belinkuota nanti dapat undian jalan atau apapun itu mending balikin kuota byu murah kencang kami memakai kamu sudah lama sudah nyaman banget ini jangan sampai kami tinggalkan,Harga,Positif,ByU,2025-02-10 17:18
1058,sinyal kamu jelek masa kalah sama smartfren,sinyal kamu jelek masa kalah sama smartfren,Stabilitas Jaringan,Negatif,ByU,2025-02-21 08:58
1059,sudah menghilangkan paket unlimited eh maah di korupsi paket super kaget menjadi 6 5 gb lama makin tidak jelas nih provider bangkai,sudah menghilangkan paket unlimited eh maah di korupsi paket super kaget menjadi 6 5 gb lama makin tidak jelas nih provider bangkai,Harga,Negatif,ByU,2025-08-25 09:41
1060,sudah 6 tahun pakai byu dari awal merintis masih pakai nama hup beta dan belum legal di playstore app store 3 ribu orang pertama dapat special price 25 gb itu 50 ribu tiba tiba hilang tanpa pemberitahuan apa apa tidak menyangka selupa diri itu,sudah 6 tahun pakai byu dari awal merintis masih pakai nama hup beta dan belum legal di playstore app store 3 ribu orang pertama dapat special price 25 gb itu 50 ribu tiba tiba hilang tanpa pemberitahuan apa apa tidak menyangka selupa diri itu,Harga,Negatif,ByU,2025-04-19 14:34
1061,byu anjing gaguna bangsat dari awalnya ada paket yang 7gb 30 hari 15rb tiba tiba hilang diganti jadi cuma 14 hari eh makin sini jadi yang 7 hari ya berkurang ke 6 5gb yang 7gb jadi ke 14 hari terus barusan mau beli yang 9gb 17rb 14 hari eh tiba tiba paket ya hilang pas mau beli di aplikasi ya tololl gaguna bangsat bikin emosi doang anjing mmk,byu anjing gaguna bangsat dari awalnya ada paket yang 7gb 30 hari 15rb tiba tiba hilang diganti,Harga,Negatif,ByU,2025-09-24 08:58
1062,hai anak by lu koleksi di ustore di kembangkan dan di perbaharui jangan itu itu lagi ditunggu koleksi tumbler yang lainnya atau earphone tws speaker jangan kebanyakan topi baju tas fashion ayo kreatif dikit lah kalian bisa kok kalau ada niat,hai anak by lu koleksi di ustore di kembangkan dan di perbaharui jangan itu itu lagi ditunggu koleksi tumbler yang lainnya atau earphone tws speaker jangan kebanyakan topi baju tas fashion ayo kreatif dikit lah kalian bisa kok kalau ada niat,Layanan Pelanggan,Netral,ByU,2025-03-30 12:26
1063,memang boleh ya nanganin customer slowrespon,memang boleh ya nanganin customer slowrespon,Layanan Pelanggan,Negatif,ByU,2025-01-29 12:59
1064,balikin paket spesial pakai telor,balikin paket spesial pakai telor,Harga,Negatif,ByU,2025-12-30 08:53
1065,jaringan ya benerin min lag banget soalnya katanya kencang kalau begitu mah buang buang duit saja percuma kalau beli kuota kalau lag min,jaringan ya benerin min lag banget soalnya katanya kencang kalau begitu mah buang buang duit saja percuma kalau beli kuota kalau lag min,Stabilitas Jaringan,Negatif,ByU,2025-01-13 22:11
1066,byu itu ibarat anggaran pemerintah makin lama makin dikit,byu itu ibarat anggaran pemerintah makin lama makin dikit,Harga,Negatif,ByU,2025-10-30 16:56
1067,nih kartu aneh benar makin lama dulu masa aktifnya di kurangi yang 15rb sekarang paketnya di kurangi juga kecewa benar sumpah padahal sudah lama memakai nih kartu,nih kartu aneh benar makin lama dulu masa aktifnya di kurangi yang 15rb sekarang paketnya di kurangi juga kecewa benar sumpah padahal sudah lama memakai nih kartu,Harga,Negatif,ByU,2025-01-02 07:19
1068,boikott by lu jangan ada yang pakai kalau makin lama makin downgrade,boikott by lu jangan ada yang pakai kalau makin lama makin downgrade,Layanan Pelanggan,Negatif,ByU,2025-06-19 10:59
1069,admin ig ya tidak punya muka kah itu di sumpah serapah sama pengguna by lu wkwk,admin ig ya tidak punya muka kah itu di sumpah serapah sama pengguna by lu wkwk,Layanan Pelanggan,Negatif,ByU,2025-12-11 16:29
1070,coba kasih penjelasan kenapa sekarang dari 20gb ke 18gb terus sekarang jadi 15gb,coba kasih penjelasan kenapa sekarang dari 20gb ke 18gb terus sekarang jadi 15gb,Harga,Negatif,ByU,2025-05-21 23:31
1071,aneh tapi nyata paket semakin mahal kuota dikurangi dan masa aktifpun juga dikurangi,aneh tapi nyata paket semakin mahal kuota dikurangi dan masa aktifpun juga dikurangi,Harga,Negatif,ByU,2025-10-29 11:54
1072,paket 1 gb ku mana woee atminn,paket 1 gb ku mana woee atminn,Harga,Negatif,ByU,2025-01-17 21:17
1073,kartu paling anjing sudah mahal sinyal kayak tahi,kartu paling anjing sudah mahal sinyal kayak tahi,Stabilitas Jaringan,Negatif,ByU,2025-09-07 10:21
1074,provider lagi butuh cuan makannya tidak bisa bakar duit lagi,provider lagi butuh cuan makannya tidak bisa bakar duit lagi,Harga,Netral,ByU,2025-08-06 21:41
1075,jaringannya tiba tiba hilang kak,jaringannya tiba tiba hilang kak,Stabilitas Jaringan,Negatif,ByU,2025-05-09 12:00
1076,spesial pakai telor kemana nih katanya itu esklusif buat pengguna hup beta,spesial pakai telor kemana nih katanya itu esklusif buat pengguna hup beta,Layanan Pelanggan,Negatif,ByU,2025-10-24 17:50
1077,min id balikin kuota 7 gb 30 hari ngapa jadi 6 setengah ah elah,min id balikin kuota 7 gb 30 hari ngapa jadi 6 setengah ah elah,Harga,Negatif,ByU,2025-01-10 13:11
1078,kuota sisa 10gb berhari hari sinyal tidak beres sampai habis masa aktif ya masih tidak beres juga,kuota sisa 10gb berhari hari sinyal tidak beres sampai habis masa aktif ya masih tidak beres juga,Stabilitas Jaringan,Negatif,ByU,2025-05-20 19:52
1079,halo min saya semalam beli paket data kenapa belum masuk sampai sekarang ya di dm malah robot yang jawab di aplikasi cs ya tidak nongol2,halo min saya semalam beli paket data kenapa belum masuk sampai sekarang ya di dm malah robot yang jawab di aplikasi cs ya tidak nongol2,Layanan Pelanggan,Negatif,ByU,2025-08-14 23:20
1080,min id ini kok pembelian saya tidak jelas ya apa yang harusnya saya dapat malah tidak,min id ini kok pembelian saya tidak jelas ya apa yang harusnya saya dapat malah tidak,Harga,Negatif,ByU,2025-11-03 19:42
1081,tolong balikin tidak min 7 gb 30 masa turun terus moga dibaca,tolong balikin tidak min 7 gb 30 masa turun terus moga dibaca,Harga,Negatif,ByU,2025-03-04 12:08
1082,lama lama makin mahal saja nih paket data,lama lama makin mahal saja nih paket data,Harga,Negatif,ByU,2025-02-16 17:59
1083,lahiya ngapa jadi 10gb yang 25rbu ngapa turunnya 1gb ya wah otw ganti kartu ini mah makin tidak masuk akal,lahiya ngapa jadi 10gb yang 25rbu ngapa turunnya 1gb ya wah otw ganti kartu ini mah makin tidak masuk akal,Harga,Negatif,ByU,2025-09-08 07:16
1084,mohon cek dm transaksi gagal tapi sppay sudah terambil,mohon cek dm transaksi gagal tapi sppay sudah terambil,Layanan Pelanggan,Negatif,ByU,2025-04-13 14:28
1085,guys jangan percaya sama admin ya kata kata staytuned mohon ditunggu itu cuman kalimat penenang mereka bakal makin kurangi lagi jumlah paketan kalian masa hari ya sementara harga tidak bakal mereka balikin kayak dulu by lu ini pakai teknik nurunin jumlah data pelan pelan biar tidak berasa tau tau makin mahal saja intinya jangan percaya sama kata kata penenang dari adminnya sebelum mereka benar benar nurutin kemauan penggunanya ingat ini kritik keras buat by lu,guys jangan percaya sama admin ya kata kata staytuned mohon ditunggu itu cuman kalimat penenang mereka bakal makin kurangi lagi jumlah paketan kalian masa hari ya sementara harga tidak bakal mereka balikin kayak dulu by lu ini pakai teknik nurunin jumlah data pelan pelan biar tidak berasa tau tau makin mahal saja intinya jangan percaya sama kata kata penenang dari adminnya sebelum mereka benar benar nurutin kemauan penggunanya ingat ini kritik keras buat by lu,Layanan Pelanggan,Negatif,ByU,2025-03-25 15:21
1086,woy kocak nih kenapa sinyal tiba tiba tidak ada aplikasi tidak bisa dibuka,woy kocak nih kenapa sinyal tiba tiba tidak ada aplikasi tidak bisa dibuka,Stabilitas Jaringan,Negatif,ByU,2025-03-10 07:16
1087,ini maintenance jangan lama lama lah aplikasi tidak bisa di buka coba beli kuota pakai ussd ada notif sukses di ussd ya tapi kuota data seluler ya tidak nyala juga ini by lu tanda tanda mau tutup operasi layanan kah,ini maintenance jangan lama lama lah aplikasi tidak bisa di buka coba beli kuota pakai ussd ada notif sukses di ussd ya,Penanganan Gangguan,Negatif,ByU,2025-12-21 18:44
1088,ini maintenance jangan lama lama lah aplikasi tidak bisa di buka coba beli kuota pakai ussd ada notif sukses di ussd ya tapi kuota data seluler ya tidak nyala juga ini by lu tanda tanda mau tutup operasi layanan kah,tapi kuota data seluler ya tidak nyala juga ini by lu tanda tanda mau tutup operasi layanan kah,Penanganan Gangguan,Negatif,ByU,2025-02-08 08:42
1089,nih by lu lama lama makin nguras kantong nih masa kuota dikurangin tapi harga masih tetap sama kuota dikurangin masa kuota juga dikurangin harga juga masih sama lagi masa sulit kah atau bagaimana kok makin kesini semua semua ya di kurang kurangi saya user by lu dari tahun 2020 dan makin kesini program by lu tidak merepresentasikan slogan yang dulu dibangga banggakan sama anak muda dan juga provider by lu sendiri,nih by lu lama lama makin nguras kantong nih masa kuota dikurangin tapi harga masih tetap sama kuota dikurangin masa kuota juga dikurangin harga juga masih sama lagi masa sulit kah atau bagaimana kok makin kesini semua semua ya di kurang kurangi saya user by lu dari tahun 2020 dan makin kesini program by lu tidak merepresentasikan slogan yang dulu dibangga banggakan sama anak muda dan juga provider by lu sendiri,Harga,Negatif,ByU,2025-01-04 21:19
1090,byu boros banget sekarang pakai byu kemarin ada yang paket unlimited 150 ribu sekarang diilangin mana sinyal sering jelek tiba tiba kuota habis saja gais info provider lain yang bagus otw move sih ini,byu boros banget sekarang pakai byu kemarin ada yang paket unlimited 150 ribu sekarang diilangin mana sinyal sering jelek tiba tiba kuota habis saja gais info provider lain yang bagus otw move sih ini,Harga,Negatif,ByU,2025-11-06 19:43
1091,sekarang koutanya turun ya siap siap pindah ke yang lain kayanya,sekarang koutanya turun ya siap siap pindah ke yang lain kayanya,Harga,Negatif,ByU,2025-05-17 16:44
1092,min yang benar saja lo masak yang kuota 7gb jadi seminggu balikin 30 hari,min yang benar saja lo masak yang kuota 7gb jadi seminggu balikin 30 hari,Harga,Negatif,ByU,2025-07-04 16:23
1093,kuota mahal jaringan tidak jelas,kuota mahal jaringan tidak jelas,Harga,Negatif,ByU,2025-03-20 14:14
1094,woy mana kuota bantuan aceh sumut sumbar min id terus paket kelen kok ngecekik kali mahal ya sekarang,woy mana kuota bantuan aceh sumut sumbar min id terus paket kelen kok ngecekik kali mahal ya sekarang,Harga,Negatif,ByU,2025-09-05 22:09
1095,woi mikir lah sementang kamu kartu sudah banyak yang pakai makin aneh aneh saja id,woi mikir lah sementang kamu kartu sudah banyak yang pakai makin aneh aneh saja id,Layanan Pelanggan,Negatif,ByU,2025-07-15 18:26
1096,kurangi saja terus itu mas aktif dan kuotanya,kurangi saja terus itu mas aktif,Harga,Negatif,ByU,2025-02-23 22:48
1097,konyol banget byu paket spesial pakai telor 25gb 50rb di menghilangkan lama bakal kaya telkomsel mahal paketnya gue bertahan karena ada pket ini sekarang tidak ada paket ini mending gue ganti provider lain,konyol banget byu paket spesial pakai telor 25gb 50rb di menghilangkan lama bakal kaya telkomsel mahal paketnya gue bertahan,Harga,Negatif,ByU,2025-12-18 13:48
1098,konyol banget byu paket spesial pakai telor 25gb 50rb di menghilangkan lama bakal kaya telkomsel mahal paketnya gue bertahan karena ada pket ini sekarang tidak ada paket ini mending gue ganti provider lain,karena ada pket ini sekarang tidak ada paket ini mending gue ganti provider lain,Harga,Negatif,ByU,2025-08-08 09:33
1099,segala pemeliharaan sistem lah percuma kebanyakan event sinyal jaringan begitu begitu saja tidak ada perubahan kocakk,segala pemeliharaan sistem lah percuma kebanyakan event sinyal jaringan begitu begitu saja tidak ada perubahan kocakk,Stabilitas Jaringan,Negatif,ByU,2025-05-15 23:45
1100,min id sudah tidak jelas lagi dari 7gb 15k 30 hari 28 hari 14 hari sampai 6 5 gb 7 hari,min id sudah tidak jelas lagi dari 7gb 15k 30 hari 28 hari 14 hari sampai 6 5 gb 7 hari,Harga,Negatif,ByU,2025-05-12 09:58
1101,ngawur kuota 7gb dari sebulan turun 2 minggu turun lagi seminggu mana dinerf 500mb,ngawur kuota 7gb dari sebulan turun 2 minggu turun lagi seminggu mana dinerf 500mb,Harga,Negatif,ByU,2025-07-19 10:03
1102,by lu sinyalnya jelek banget demi allah,by lu sinyalnya jelek banget demi allah,Stabilitas Jaringan,Negatif,ByU,2025-03-27 23:12
1103,jangan pakai byu lagi ya 1 isi pulsa dari januari 2025 tidak masuk komplain dijawab bot2 isi data tanggal 26 september 2025 tidak masuk komplain tidak ada jawaban 3 kuota lebih pelit dari 7gb 30 hari jadi 20 hari sekarang 14 hari tidak jelas4 sinyal kacau buka aplikasi byu mau cek kuota tidak bisaalhamdulillah ganti provider yang cs respon ya cepat kalau komplain,jangan pakai byu lagi ya 1 isi pulsa dari januari 2025 tidak masuk komplain dijawab bot2 isi data tanggal 26 september 2025 tidak masuk komplain tidak ada jawaban 3 kuota lebih pelit dari 7gb 30 hari,Layanan Pelanggan,Negatif,ByU,2025-12-19 11:10
1104,jangan pakai byu lagi ya 1 isi pulsa dari januari 2025 tidak masuk komplain dijawab bot2 isi data tanggal 26 september 2025 tidak masuk komplain tidak ada jawaban 3 kuota lebih pelit dari 7gb 30 hari jadi 20 hari sekarang 14 hari tidak jelas4 sinyal kacau buka aplikasi byu mau cek kuota tidak bisaalhamdulillah ganti provider yang cs respon ya cepat kalau komplain,jadi 20 hari sekarang 14 hari tidak jelas4 sinyal kacau buka aplikasi byu mau cek kuota tidak bisaalhamdulillah ganti provider yang cs respon ya cepat kalau komplain,Stabilitas Jaringan,Negatif,ByU,2025-06-11 23:28
1105,min ngelag banget sudah 1minggu,min ngelag banget sudah 1minggu,Stabilitas Jaringan,Negatif,ByU,2025-01-04 13:45
1106,update terus jaringan tidak pernah di beres,update terus jaringan tidak pernah di beres,Stabilitas Jaringan,Negatif,ByU,2025-12-19 22:05
1107,min ini daerah aceh kenapa lelet ya jaringan ya,min ini daerah aceh kenapa lelet ya jaringan ya,Stabilitas Jaringan,Negatif,ByU,2025-11-29 23:28
1108,min kenapa kartu byu aku tiba tiba tidak berfungsi padahal kuotanya baru di isi loh min,min kenapa kartu byu aku tiba tiba tidak berfungsi,Penanganan Gangguan,Negatif,ByU,2025-08-26 08:29
1109,min kenapa kartu byu aku tiba tiba tidak berfungsi padahal kuotanya baru di isi loh min,padahal kuotanya baru di isi loh min,Penanganan Gangguan,Negatif,ByU,2025-10-05 23:26
1110,jangan staytuned terus lah min kalau ada kata itu di komentar mending buang saja nih kartu by lu,jangan staytuned terus lah min kalau ada kata itu di komentar mending buang saja nih kartu by lu,Layanan Pelanggan,Negatif,ByU,2025-03-15 08:35
1111,makin kesini masa aktif kuota dan besaran kuota internet makin disunat ya kalau jaringan stabil lah ini mendung dikit sudah patah apalagi hujan gede,makin kesini masa aktif kuota dan besaran kuota internet makin disunat ya kalau jaringan stabil lah ini mendung dikit sudah patah apalagi hujan gede,Stabilitas Jaringan,Negatif,ByU,2025-10-15 16:46
1112,makin kesini makin mahal byu jari ragu buat bertahan,makin kesini makin mahal byu jari ragu buat bertahan,Harga,Negatif,ByU,2025-12-01 19:16
1113,ngapa jadi 6 5 gb 7hr balikin 7gb sekarang,ngapa jadi 6 5 gb 7hr balikin 7gb sekarang,Harga,Negatif,ByU,2025-11-27 07:47
1114,paket khusus 25gb 50k 30hari dari jaman hupbeta kok hilang juga min,paket khusus 25gb 50k 30hari dari jaman hupbeta kok hilang juga min,Harga,Negatif,ByU,2025-01-07 09:02
1115,memang id mau bangkrutkah knapa paket lama2 jadi mahal2 ya itu yang 7gb 30hr 15rb terus berubah jadi 14hr ya sudah gpp sekarang tambah gila 15rb cuman dpat 6 5gb dan 7hari doang gila gila,memang id mau bangkrutkah knapa paket lama2 jadi mahal2 ya itu yang 7gb 30hr 15rb terus berubah jadi 14hr ya sudah gpp sekarang tambah gila 15rb cuman dpat 6 5gb dan 7hari doang gila gila,Harga,Negatif,ByU,2025-11-14 18:44
1116,kok jadi mahal pindah saja ah tidak akan benar,jadi mahal pindah saja ah tidak akan benar,Harga,Negatif,ByU,2025-05-03 08:59
1117,balikin 7gb ya ok tidak apa2 2 minggu juga asala balikin lagi saja padahal gua sudah suruh kerabat2 keluarga supaya pakai by karan worth itu eh malah kayak begini balasan ya,balikin 7gb ya ok tidak apa2 2 minggu juga asala balikin lagi saja,Harga,Negatif,ByU,2025-09-29 09:59
1118,balikin 7gb ya ok tidak apa2 2 minggu juga asala balikin lagi saja padahal gua sudah suruh kerabat2 keluarga supaya pakai by karan worth itu eh malah kayak begini balasan ya,padahal gua sudah suruh kerabat2 keluarga supaya pakai by karan worth itu eh malah kayak begini balasan ya,Layanan Pelanggan,Negatif,ByU,2025-01-16 08:18
1119,sayang good bye tapi by lu paket special pakai telor khusus user hup beta sudah hilang,sayang good bye tapi by lu paket special pakai telor khusus user hup beta sudah hilang,Harga,Negatif,ByU,2025-11-14 12:49
1120,mau complain pas mau mengetik ternyata isi kolom komentar isi ya complain semua juga iakses masih mau jualan tidak sih,mau complain pas mau mengetik ternyata isi kolom komentar isi ya complain semua juga iakses masih mau jualan tidak sih,Layanan Pelanggan,Negatif,ByU,2025-03-05 20:23
1121,min 7 gb 2 minggu ya kemana makin rame penggunanya makin mahal harga ya nih byu,min 7 gb 2 minggu ya kemana makin rame penggunanya makin mahal harga ya nih byu,Harga,Negatif,ByU,2025-01-29 19:28
1122,woy min ini di lampung susah amat sinyal ya mau jawab apa min restart device sudah di restart min tetap saja susah meminta ampun pindah ke by lu karena sinyal kuat sama murah malah jadi begini mending pindah saja ke yang lain ini mah,woy min ini di lampung susah amat sinyal ya mau jawab apa min restart device sudah di restart min tetap saja susah meminta ampun pindah ke by lu,Stabilitas Jaringan,Negatif,ByU,2025-10-28 19:24
1123,woy min ini di lampung susah amat sinyal ya mau jawab apa min restart device sudah di restart min tetap saja susah meminta ampun pindah ke by lu karena sinyal kuat sama murah malah jadi begini mending pindah saja ke yang lain ini mah,karena sinyal kuat sama murah malah jadi begini mending pindah saja ke yang lain ini mah,Stabilitas Jaringan,Negatif,ByU,2025-05-03 11:41
1124,balikin tidak kuota 7gb 14 hari 15rb,balikin tidak kuota 7gb 14 hari 15rb,Harga,Negatif,ByU,2025-08-28 18:07
1125,sinyal makin jelek kuotanya makin mahal,sinyal makin jelek kuotanya makin mahal,Stabilitas Jaringan,Negatif,ByU,2025-04-06 19:33
1126,kebanyakan mau modif aplikasi sampai jaringan tidak jelas aplikasi tidak jelas,kebanyakan mau modif aplikasi sampai jaringan tidak jelas aplikasi tidak jelas,Kemudahan Akses Layanan,Negatif,ByU,2025-12-05 14:53
1127,jaringan lemot respon officer lemot,jaringan lemot respon officer lemot,Penanganan Gangguan,Negatif,ByU,2025-10-01 07:19
1128,kuota makin mahal jaringan biasa saja,kuota makin mahal jaringan biasa saja,Harga,Negatif,ByU,2025-10-15 20:34
1129,min saya mau tanya kalau pelanggan ada keluhan ini serius di tangani atau cuman di permainkan,min saya mau tanya kalau pelanggan ada keluhan ini serius di tangani atau cuman di permainkan,Layanan Pelanggan,Negatif,ByU,2025-01-13 14:15
1130,paket gue tinggal 200mb terus ngisi yang 8gb yang di apk cuma 7 92gb kamu korupt kah,paket gue tinggal 200mb terus ngisi yang 8gb yang di apk cuma 7 92gb kamu korupt kah,Harga,Negatif,ByU,2025-11-15 18:09
1131,ganti kartu saja tidak jelas sinyal sudah tidak jelas,ganti kartu saja tidak jelas sinyal sudah tidak jelas,Stabilitas Jaringan,Negatif,ByU,2025-01-09 13:59
1132,benerin jaringan kamu toioi sudah 4 bulan lemot banget tidak ada yang kerja apa,benerin jaringan kamu toioi sudah 4 bulan lemot banget tidak ada yang kerja apa,Stabilitas Jaringan,Negatif,ByU,2025-05-29 10:02
1133,mending migrasi ke simpati min paket kok gonta ganti apa bedanya sama simpati,mending migrasi ke simpati min paket kok gonta ganti apa bedanya sama simpati,Harga,Negatif,ByU,2025-08-26 20:39
1134,min tolong lah benerin sinyal by lu gua mau main game ngelag banget nih sudah seminggu jangann kuota terus yang kamu ubah aduh kecewa,min tolong lah benerin sinyal by lu gua mau main game ngelag banget nih sudah seminggu jangann kuota terus yang kamu ubah aduh kecewa,Stabilitas Jaringan,Negatif,ByU,2025-07-25 07:15
1135,balikin kuota unlimited 2mbps dong,balikin kuota unlimited 2mbps dong,Harga,Negatif,ByU,2025-08-07 09:06
1136,id kapan paket unlimited aman jaya ada lagi,id kapan paket unlimited aman jaya ada lagi,Harga,Netral,ByU,2025-05-20 08:28
1137,kenapa paket 42gb jadi turun ke 37gb with the same price bring itu back hey 5gb that si too much for a loss nindy,kenapa paket 42gb jadi turun ke 37gb with the same price bring itu back hey 5gb that si too much for a loss nindy,Harga,Negatif,ByU,2025-12-20 08:15
1138,kalau paket unlimited ya sudah ada lagi kabarin ya maaf mau pindah provider dulu boros banget sumpah 18gb tidak ada seminggu habis mana mahal,kalau paket unlimited ya sudah ada lagi kabarin ya maaf mau pindah provider dulu boros banget sumpah 18gb tidak ada seminggu habis mana mahal,Harga,Negatif,ByU,2025-09-24 08:25
1139,masih menunggu paket unlimited kembali,masih menunggu paket unlimited kembali,Harga,Netral,ByU,2025-06-15 14:34
1140,harganya kok pada naik semua min,harganya kok pada naik semua min,Harga,Negatif,ByU,2025-11-07 08:08
1141,admin balas dm ku ya jangan main main kalian,admin balas dm ku ya jangan main main kalian,Layanan Pelanggan,Negatif,ByU,2025-03-17 16:14
1142,sinyal aga bermasalah ya kak,sinyal aga bermasalah ya kak,Stabilitas Jaringan,Negatif,ByU,2025-03-27 17:36
1143,ini admin provider paling fast respon,ini admin provider paling fast respon,Layanan Pelanggan,Positif,ByU,2025-05-20 17:15
1144,balikin kuota 7gb 14hari min,balikin kuota 7gb 14hari min,Harga,Negatif,ByU,2025-12-10 11:42
1145,masih setia menunggu kuota 2mps balikk,masih setia menunggu kuota 2mps balikk,Kecepatan Internet,Negatif,ByU,2025-01-17 14:26
1146,harganya terlalu mahal untuk kami,harganya terlalu mahal untuk kami,Harga,Negatif,ByU,2025-07-10 15:03
1147,pasti tim design ya lagi liburan juga,pasti tim design ya lagi liburan juga,Layanan Pelanggan,Negatif,ByU,2025-05-18 12:40
1148,sudah pindah pakai indosat paket 150k dapat 150 giga,sudah pindah pakai indosat paket 150k dapat 150 giga,Harga,Negatif,ByU,2025-01-22 20:35
1149,kuota yang unlimited ya kemana,kuota yang unlimited ya kemana,Harga,Negatif,ByU,2025-12-16 08:22
1150,min mengadakan kuota unlimited plis,min mengadakan kuota unlimited plis,Kecepatan Internet,Netral,ByU,2025-07-31 19:50
1151,kok gunakan koin sudah tidak bisa padahal masih november apa gara gara mau hapus sistem loyalti member,kok gunakan koin sudah tidak bisa,Kemudahan Akses Layanan,Negatif,ByU,2025-01-17 17:44
